TopContant,BackContanct,ActiveLayer,A_Bandgap(ev),A_theoretical_Bandgap(ev),Thickness(nm),Dopant,Substrate,S_Bandgap(ev),S_theoretical_Bandgap(ev),SubstrateType,Morphology,Wavelength(nm),Responsivity(A/W),RiseTime(s),FallTime(s),PowerIntensity(μW/cm2),DarkCurrent(μA),Photocurrent(μA),On–off ratio,Bias(V),Aabsx6,Aabsx5,Aabsx4,Aabsx3,Aabsx2,Aabsx,Aabsint,RamanA,RamanB,Rcoeff1,Rcoeff2,Rcoeff3,Rcoeff4,Rcoeff5,Rcoeff6,Rcoeff7,Rcoeff8,Rcoeff9,Rcoeff10,Rcoeff11,Rcoeff12,Rcoeff13,Rcoeff14,Rcoeff15,Rcoeff16,Rcoeff17,Rcoeff18,Rcoeff19,Rcoeff20,Rshif1,Rshif2,Rshif3,Rshif4,Rshif5,Rshif6,Rshif7,Rshif8,Rshif9,Rshif10,Rshif11,Rshif12,Rshif13,Rshif14,Rshif15,Rshif16,Rshif17,Rshif18,Rshif19,Rshif20,xrdA,xrdB,xrdcoef1,xrdcoef2,xrdcoef3,xrdcoef4,xrdcoef5,xrdcoef6,xrdcoef7,xrdcoef8,xrdcoef9,xrdcoef10,xrdcoef11,xrdcoef12,xrdcoef13,xrdcoef14,xrdcoef15,xrdcoef16,xrdcoef17,xrdcoef18,xrdcoef19,xrdcoef20,shift1,shift2,shift3,shift4,shift5,shift6,shift7,shift8,shift9,shift10,shift11,shift12,shift13,shift14,shift15,shift16,shift17,shift18,shift19,shift20,SXRDA,SXRDB,SXRDcoeff1,SXRDcoeff2,SXRDcoeff3,SXRDcoeff4,SXRDcoeff5,SXRDcoeff6,SXRDcoeff7,SXRDcoeff8,SXRDcoeff9,SXRDcoeff10,SXRDcoeff11,SXRDcoeff12,SXRDcoeff13,SXRDcoeff14,SXRDcoeff15,SXRDcoeff16,SXRDcoeff17,SXRDcoeff18,SXRDcoeff19,SXRDcoeff20,SXRDcoeff21,SXRDcoeff22,SXRDcoeff23,SXRDcoeff24,SXRDcoeff25,SXRDcoeff26,SXRDcoeff27,SXRDcoeff28,SXRDcoeff29,SXRDcoeff30,SXRDshift1,SXRDshift2,SXRDshift3,SXRDshift4,SXRDshift5,SXRDshift6,SXRDshift7,SXRDshift8,SXRDshift9,SXRDshift10,SXRDshift11,SXRDshift12,SXRDshift13,SXRDshift14,SXRDshift15,SXRDshift16,SXRDshift17,SXRDshift18,SXRDshift19,SXRDshift20,SXRDshift21,SXRDshift22,SXRDshift23,SXRDshift24,SXRDshift25,SXRDshift26,SXRDshift27,SXRDshift28,SXRDshift29,SXRDshift30
Au,Cu,TiO2,3.2,2.68,200,None,Si,1.12,0.61,p,thin film,550,0.496,0.154,0.123,1.19,0.009,0.59,65.55555556,3,8E-14,-2E-10,0.0000003,-0.0002,0.0873,-17.885,1512.8,0.276495785,-17.19061662,0.604545396,0.569509457,-0.109547142,-0.118023127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.5893959,441.3880528,230.594109,130.2697186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18376373,17.50959823,0.133595692,0.039432359,-0.107213672,0.074224174,0.004675822,-0.020157089,-0.021724628,0.03056462,0.011215265,0,0,0,0,0,0,0,0,0,0,0,26.59050894,28.88677135,39.84600191,41.87204536,43.71619238,47.48743083,55.58413286,57.84996144,72.66862381,0,0,0,0,0,0,0,0,0,0,0,-0.02543977,1.288436644,1.860091224,12.4772692,-1.460386272,-10.83330103,-1.494897374,0.37963621,0.816240725,2.977933618,-0.147116595,-2.532924407,0.163037935,0.743369275,0.151873756,0.503704936,-0.00073198,-0.351027847,0.309421218,-0.220639012,-0.825521203,0.090306695,-0.204022808,-0.655201949,-0.080527745,0.069647516,0.093206111,-0.024179714,0.069072261,0,0,0,28.92610038,47.17310573,47.00346244,47.18823308,29.27526748,46.8798438,29.3882975,56.06321565,55.63881031,56.07337848,87.76661693,48.44582182,127.2091917,113.803607,29.74026553,113.7268856,76.25581772,45.95839,48.62783109,94.78584957,76.15287863,29.85402132,57.21816242,69.00695589,136.4418676,114.9887755,106.4550312,0,0,0
Au,Cu,TiO2,3.2,2.68,200,None,Si,1.12,0.61,p,thin film,450,0.194,0.154,0.123,1.18,0.009,0.229,25.44444444,3,8E-14,-2E-10,0.0000003,-0.0002,0.0873,-17.885,1512.8,0.276495785,-17.19061662,0.604545396,0.569509457,-0.109547142,-0.118023127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.5893959,441.3880528,230.594109,130.2697186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18376373,17.50959823,0.133595692,0.039432359,-0.107213672,0.074224174,0.004675822,-0.020157089,-0.021724628,0.03056462,0.011215265,0,0,0,0,0,0,0,0,0,0,0,26.59050894,28.88677135,39.84600191,41.87204536,43.71619238,47.48743083,55.58413286,57.84996144,72.66862381,0,0,0,0,0,0,0,0,0,0,0,-0.02543977,1.288436644,1.860091224,12.4772692,-1.460386272,-10.83330103,-1.494897374,0.37963621,0.816240725,2.977933618,-0.147116595,-2.532924407,0.163037935,0.743369275,0.151873756,0.503704936,-0.00073198,-0.351027847,0.309421218,-0.220639012,-0.825521203,0.090306695,-0.204022808,-0.655201949,-0.080527745,0.069647516,0.093206111,-0.024179714,0.069072261,0,0,0,28.92610038,47.17310573,47.00346244,47.18823308,29.27526748,46.8798438,29.3882975,56.06321565,55.63881031,56.07337848,87.76661693,48.44582182,127.2091917,113.803607,29.74026553,113.7268856,76.25581772,45.95839,48.62783109,94.78584957,76.15287863,29.85402132,57.21816242,69.00695589,136.4418676,114.9887755,106.4550312,0,0,0
ITO,In,TiO2,3.27,2.68,200,None,GaN,3.39,1.73,p,anatase-hollow sphere,305,0.121,,,18.275,0.58,2.211275,3.812543103,8.8,-3E-15,1E-11,-0.00000002,0.00001,-0.0059,1.2388,-102,0.0752,-0.455,0.618,0.0607,0.0591,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,376,504,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180565835,0.177067977,0.005545479,0.004275954,-0.019596136,0.132188886,0.021356457,-0.001438315,-0.002862522,0.028939709,-0.003969208,-0.003950816,-0.010942428,0.048254314,0.031241473,-0.001888284,0.018400061,-0.002639292,0.00627094,0.010538937,-0.00290632,0,21.20117329,22.04565207,24.57908841,25.27962194,25.69994206,30.49043986,32.17939742,38.01877625,40.22205246,41.915741,47.82851853,48.14772343,54.00058285,59.95945909,63.20576712,66.10697214,70.25771329,75.32458597,78.25284355,0,0.044830291,-5.283908381,7.782601863,-4.460661004,-1.155583556,-1.419048044,0.466333689,0.392368011,0.395267459,0.012117487,-0.337470912,1.306979542,0.257318389,-0.003785232,-0.131087534,-1.009138424,0.391634623,-0.259942314,0.209134672,0.242400353,-0.041800988,-0.051945201,0.11319023,-0.140337792,-0.451099035,0.093424673,0.080101883,0.069139515,0.087069101,-0.081953214,0.033720253,0.027078802,36.94908273,36.94474415,37.02978135,36.75723162,37.858399,32.69050682,33.44432312,35.57062511,33.66151452,63.48290857,57.82737225,34.04474919,69.23218384,63.44660483,69.31560376,38.0307514,48.0680454,119.2941407,63.82465717,58.8815462,97.87766257,119.1630049,38.21307829,105.2028557,136.6770624,125.4899106,91.14748864,64.7235098,113.8579369,143.006802
ITO,In,TiO2,3.27,2.68,200,None,GaN,3.39,1.73,p,anatase-hollow sphere,308,0.174,,,18.275,0.58,3.17985,5.4825,8.8,-3E-15,1E-11,-0.00000002,0.00001,-0.0059,1.2388,-102,0.0752,-0.455,0.618,0.0607,0.0591,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,376,504,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180565835,0.177067977,0.005545479,0.004275954,-0.019596136,0.132188886,0.021356457,-0.001438315,-0.002862522,0.028939709,-0.003969208,-0.003950816,-0.010942428,0.048254314,0.031241473,-0.001888284,0.018400061,-0.002639292,0.00627094,0.010538937,-0.00290632,0,21.20117329,22.04565207,24.57908841,25.27962194,25.69994206,30.49043986,32.17939742,38.01877625,40.22205246,41.915741,47.82851853,48.14772343,54.00058285,59.95945909,63.20576712,66.10697214,70.25771329,75.32458597,78.25284355,0,0.044830291,-5.283908381,7.782601863,-4.460661004,-1.155583556,-1.419048044,0.466333689,0.392368011,0.395267459,0.012117487,-0.337470912,1.306979542,0.257318389,-0.003785232,-0.131087534,-1.009138424,0.391634623,-0.259942314,0.209134672,0.242400353,-0.041800988,-0.051945201,0.11319023,-0.140337792,-0.451099035,0.093424673,0.080101883,0.069139515,0.087069101,-0.081953214,0.033720253,0.027078802,36.94908273,36.94474415,37.02978135,36.75723162,37.858399,32.69050682,33.44432312,35.57062511,33.66151452,63.48290857,57.82737225,34.04474919,69.23218384,63.44660483,69.31560376,38.0307514,48.0680454,119.2941407,63.82465717,58.8815462,97.87766257,119.1630049,38.21307829,105.2028557,136.6770624,125.4899106,91.14748864,64.7235098,113.8579369,143.006802
ITO,In,TiO2,3.27,2.68,200,None,GaN,3.39,1.73,p,anatase-hollow sphere,312,0.203,,,18.27586207,0.58,4.29,7.396551724,8.8,-3E-15,1E-11,-0.00000002,0.00001,-0.0059,1.2388,-102,0.0752,-0.455,0.618,0.0607,0.0591,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,376,504,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180565835,0.177067977,0.005545479,0.004275954,-0.019596136,0.132188886,0.021356457,-0.001438315,-0.002862522,0.028939709,-0.003969208,-0.003950816,-0.010942428,0.048254314,0.031241473,-0.001888284,0.018400061,-0.002639292,0.00627094,0.010538937,-0.00290632,0,21.20117329,22.04565207,24.57908841,25.27962194,25.69994206,30.49043986,32.17939742,38.01877625,40.22205246,41.915741,47.82851853,48.14772343,54.00058285,59.95945909,63.20576712,66.10697214,70.25771329,75.32458597,78.25284355,0,0.044830291,-5.283908381,7.782601863,-4.460661004,-1.155583556,-1.419048044,0.466333689,0.392368011,0.395267459,0.012117487,-0.337470912,1.306979542,0.257318389,-0.003785232,-0.131087534,-1.009138424,0.391634623,-0.259942314,0.209134672,0.242400353,-0.041800988,-0.051945201,0.11319023,-0.140337792,-0.451099035,0.093424673,0.080101883,0.069139515,0.087069101,-0.081953214,0.033720253,0.027078802,36.94908273,36.94474415,37.02978135,36.75723162,37.858399,32.69050682,33.44432312,35.57062511,33.66151452,63.48290857,57.82737225,34.04474919,69.23218384,63.44660483,69.31560376,38.0307514,48.0680454,119.2941407,63.82465717,58.8815462,97.87766257,119.1630049,38.21307829,105.2028557,136.6770624,125.4899106,91.14748864,64.7235098,113.8579369,143.006802
ITO,In,TiO2,3.27,2.68,200,None,GaN,3.39,1.73,p,anatase-hollow sphere,314,0.114,,,18.275,0.58,2.08335,3.591982759,8.8,-3E-15,1E-11,-0.00000002,0.00001,-0.0059,1.2388,-102,0.0752,-0.455,0.618,0.0607,0.0591,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,376,504,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180565835,0.177067977,0.005545479,0.004275954,-0.019596136,0.132188886,0.021356457,-0.001438315,-0.002862522,0.028939709,-0.003969208,-0.003950816,-0.010942428,0.048254314,0.031241473,-0.001888284,0.018400061,-0.002639292,0.00627094,0.010538937,-0.00290632,0,21.20117329,22.04565207,24.57908841,25.27962194,25.69994206,30.49043986,32.17939742,38.01877625,40.22205246,41.915741,47.82851853,48.14772343,54.00058285,59.95945909,63.20576712,66.10697214,70.25771329,75.32458597,78.25284355,0,0.044830291,-5.283908381,7.782601863,-4.460661004,-1.155583556,-1.419048044,0.466333689,0.392368011,0.395267459,0.012117487,-0.337470912,1.306979542,0.257318389,-0.003785232,-0.131087534,-1.009138424,0.391634623,-0.259942314,0.209134672,0.242400353,-0.041800988,-0.051945201,0.11319023,-0.140337792,-0.451099035,0.093424673,0.080101883,0.069139515,0.087069101,-0.081953214,0.033720253,0.027078802,36.94908273,36.94474415,37.02978135,36.75723162,37.858399,32.69050682,33.44432312,35.57062511,33.66151452,63.48290857,57.82737225,34.04474919,69.23218384,63.44660483,69.31560376,38.0307514,48.0680454,119.2941407,63.82465717,58.8815462,97.87766257,119.1630049,38.21307829,105.2028557,136.6770624,125.4899106,91.14748864,64.7235098,113.8579369,143.006802
ITO,In,TiO2,3.27,2.68,200,None,GaN,3.39,1.73,p,anatase-hollow sphere,317,0.091,,,18.275,0.58,1.663025,2.867284483,8.8,-3E-15,1E-11,-0.00000002,0.00001,-0.0059,1.2388,-102,0.0752,-0.455,0.618,0.0607,0.0591,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,376,504,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180565835,0.177067977,0.005545479,0.004275954,-0.019596136,0.132188886,0.021356457,-0.001438315,-0.002862522,0.028939709,-0.003969208,-0.003950816,-0.010942428,0.048254314,0.031241473,-0.001888284,0.018400061,-0.002639292,0.00627094,0.010538937,-0.00290632,0,21.20117329,22.04565207,24.57908841,25.27962194,25.69994206,30.49043986,32.17939742,38.01877625,40.22205246,41.915741,47.82851853,48.14772343,54.00058285,59.95945909,63.20576712,66.10697214,70.25771329,75.32458597,78.25284355,0,0.044830291,-5.283908381,7.782601863,-4.460661004,-1.155583556,-1.419048044,0.466333689,0.392368011,0.395267459,0.012117487,-0.337470912,1.306979542,0.257318389,-0.003785232,-0.131087534,-1.009138424,0.391634623,-0.259942314,0.209134672,0.242400353,-0.041800988,-0.051945201,0.11319023,-0.140337792,-0.451099035,0.093424673,0.080101883,0.069139515,0.087069101,-0.081953214,0.033720253,0.027078802,36.94908273,36.94474415,37.02978135,36.75723162,37.858399,32.69050682,33.44432312,35.57062511,33.66151452,63.48290857,57.82737225,34.04474919,69.23218384,63.44660483,69.31560376,38.0307514,48.0680454,119.2941407,63.82465717,58.8815462,97.87766257,119.1630049,38.21307829,105.2028557,136.6770624,125.4899106,91.14748864,64.7235098,113.8579369,143.006802
ITO,In,TiO2,3.27,2.68,200,None,GaN,3.39,1.73,p,anatase-hollow sphere,320,0.136,,,18.275,0.58,2.4854,4.285172414,8.8,-3E-15,1E-11,-0.00000002,0.00001,-0.0059,1.2388,-102,0.0752,-0.455,0.618,0.0607,0.0591,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,376,504,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180565835,0.177067977,0.005545479,0.004275954,-0.019596136,0.132188886,0.021356457,-0.001438315,-0.002862522,0.028939709,-0.003969208,-0.003950816,-0.010942428,0.048254314,0.031241473,-0.001888284,0.018400061,-0.002639292,0.00627094,0.010538937,-0.00290632,0,21.20117329,22.04565207,24.57908841,25.27962194,25.69994206,30.49043986,32.17939742,38.01877625,40.22205246,41.915741,47.82851853,48.14772343,54.00058285,59.95945909,63.20576712,66.10697214,70.25771329,75.32458597,78.25284355,0,0.044830291,-5.283908381,7.782601863,-4.460661004,-1.155583556,-1.419048044,0.466333689,0.392368011,0.395267459,0.012117487,-0.337470912,1.306979542,0.257318389,-0.003785232,-0.131087534,-1.009138424,0.391634623,-0.259942314,0.209134672,0.242400353,-0.041800988,-0.051945201,0.11319023,-0.140337792,-0.451099035,0.093424673,0.080101883,0.069139515,0.087069101,-0.081953214,0.033720253,0.027078802,36.94908273,36.94474415,37.02978135,36.75723162,37.858399,32.69050682,33.44432312,35.57062511,33.66151452,63.48290857,57.82737225,34.04474919,69.23218384,63.44660483,69.31560376,38.0307514,48.0680454,119.2941407,63.82465717,58.8815462,97.87766257,119.1630049,38.21307829,105.2028557,136.6770624,125.4899106,91.14748864,64.7235098,113.8579369,143.006802
ITO,In,TiO2,3.27,2.68,200,None,GaN,3.39,1.73,p,anatase-hollow sphere,323,0.088,,,18.275,0.58,1.6082,2.772758621,8.8,-3E-15,1E-11,-0.00000002,0.00001,-0.0059,1.2388,-102,0.0752,-0.455,0.618,0.0607,0.0591,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,376,504,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180565835,0.177067977,0.005545479,0.004275954,-0.019596136,0.132188886,0.021356457,-0.001438315,-0.002862522,0.028939709,-0.003969208,-0.003950816,-0.010942428,0.048254314,0.031241473,-0.001888284,0.018400061,-0.002639292,0.00627094,0.010538937,-0.00290632,0,21.20117329,22.04565207,24.57908841,25.27962194,25.69994206,30.49043986,32.17939742,38.01877625,40.22205246,41.915741,47.82851853,48.14772343,54.00058285,59.95945909,63.20576712,66.10697214,70.25771329,75.32458597,78.25284355,0,0.044830291,-5.283908381,7.782601863,-4.460661004,-1.155583556,-1.419048044,0.466333689,0.392368011,0.395267459,0.012117487,-0.337470912,1.306979542,0.257318389,-0.003785232,-0.131087534,-1.009138424,0.391634623,-0.259942314,0.209134672,0.242400353,-0.041800988,-0.051945201,0.11319023,-0.140337792,-0.451099035,0.093424673,0.080101883,0.069139515,0.087069101,-0.081953214,0.033720253,0.027078802,36.94908273,36.94474415,37.02978135,36.75723162,37.858399,32.69050682,33.44432312,35.57062511,33.66151452,63.48290857,57.82737225,34.04474919,69.23218384,63.44660483,69.31560376,38.0307514,48.0680454,119.2941407,63.82465717,58.8815462,97.87766257,119.1630049,38.21307829,105.2028557,136.6770624,125.4899106,91.14748864,64.7235098,113.8579369,143.006802
ITO,In,TiO2,3.27,2.68,200,None,GaN,3.39,1.73,p,anatase-hollow sphere,327,0.089,,,18.275,0.58,1.626475,2.804267241,8.8,-3E-15,1E-11,-0.00000002,0.00001,-0.0059,1.2388,-102,0.0752,-0.455,0.618,0.0607,0.0591,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,376,504,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180565835,0.177067977,0.005545479,0.004275954,-0.019596136,0.132188886,0.021356457,-0.001438315,-0.002862522,0.028939709,-0.003969208,-0.003950816,-0.010942428,0.048254314,0.031241473,-0.001888284,0.018400061,-0.002639292,0.00627094,0.010538937,-0.00290632,0,21.20117329,22.04565207,24.57908841,25.27962194,25.69994206,30.49043986,32.17939742,38.01877625,40.22205246,41.915741,47.82851853,48.14772343,54.00058285,59.95945909,63.20576712,66.10697214,70.25771329,75.32458597,78.25284355,0,0.044830291,-5.283908381,7.782601863,-4.460661004,-1.155583556,-1.419048044,0.466333689,0.392368011,0.395267459,0.012117487,-0.337470912,1.306979542,0.257318389,-0.003785232,-0.131087534,-1.009138424,0.391634623,-0.259942314,0.209134672,0.242400353,-0.041800988,-0.051945201,0.11319023,-0.140337792,-0.451099035,0.093424673,0.080101883,0.069139515,0.087069101,-0.081953214,0.033720253,0.027078802,36.94908273,36.94474415,37.02978135,36.75723162,37.858399,32.69050682,33.44432312,35.57062511,33.66151452,63.48290857,57.82737225,34.04474919,69.23218384,63.44660483,69.31560376,38.0307514,48.0680454,119.2941407,63.82465717,58.8815462,97.87766257,119.1630049,38.21307829,105.2028557,136.6770624,125.4899106,91.14748864,64.7235098,113.8579369,143.006802
